start_location,end_location,time_road
AT11,AT11,2
AT11,AT12,2
AT11,AT13,2
AT11,AT21,6
AT11,AT22,3
AT11,AT31,4
AT11,AT32,6
AT11,AT33,8
AT11,AT34,10
AT11,BE10,16
AT11,BE21,16
AT11,BE22,15
AT11,BE23,16
AT11,BE24,16
AT11,BE25,17
AT11,BE31,16
AT11,BE32,16
AT11,BE33,15
AT11,BE34,14
AT11,BE35,15
AT11,BG31,17
AT11,BG32,19
AT11,BG33,21
AT11,BG34,20
AT11,BG41,18
AT11,BG42,19
AT11,CY00,42
AT11,CZ01,6
AT11,CZ02,7
AT11,CZ03,7
AT11,CZ04,8
AT11,CZ05,8
AT11,CZ06,4
AT11,CZ07,5
AT11,CZ08,6
AT11,DE11,10
AT11,DE12,11
AT11,DE13,13
AT11,DE14,10
AT11,DE21,8
AT11,DE22,6
AT11,DE23,7
AT11,DE24,9
AT11,DE25,8
AT11,DE26,10
AT11,DE27,9
AT11,DE30,11
AT11,DE40,11
AT11,DE50,14
AT11,DE60,15
AT11,DE71,11
AT11,DE72,12
AT11,DE73,12
AT11,DE80,14
AT11,DE91,13
AT11,DE92,13
AT11,DE93,15
AT11,DE94,16
AT11,DEA1,14
AT11,DEA2,13
AT11,DEA3,15
AT11,DEA4,14
AT11,DEA5,14
AT11,DEB1,12
AT11,DEB2,13
AT11,DEB3,11
AT11,DEC0,13
AT11,DED2,9
AT11,DED4,10
AT11,DED5,10
AT11,DEE0,11
AT11,DEF0,15
AT11,DEG0,11
AT11,DK01,19
AT11,DK02,19
AT11,DK03,18
AT11,DK04,20
AT11,DK05,21
AT11,EE00,31
AT11,EL11,20
AT11,EL12,18
AT11,EL13,19
AT11,EL14,20
AT11,EL21,21
AT11,EL22,25
AT11,EL23,23
AT11,EL24,22
AT11,EL25,26
AT11,EL30,23
AT11,EL41,31
AT11,EL42,34
AT11,EL43,39
AT11,ES11,35
AT11,ES12,31
AT11,ES13,28
AT11,ES21,26
AT11,ES22,27
AT11,ES23,28
AT11,ES24,25
AT11,ES30,29
AT11,ES41,31
AT11,ES42,29
AT11,ES43,34
AT11,ES51,21
AT11,ES52,27
AT11,ES53,31
AT11,ES61,34
AT11,ES62,29
AT11,ES63,38
AT11,ES64,39
AT11,ES70,90
AT11,FI19,39
AT11,FI1B,35
AT11,FI1C,37
AT11,FI1D,42
AT11,FI20,33
AT11,FR10,17
AT11,FR21,16
AT11,FR22,18
AT11,FR23,19
AT11,FR24,20
AT11,FR25,20
AT11,FR26,17
AT11,FR30,17
AT11,FR41,14
AT11,FR42,13
AT11,FR43,15
AT11,FR51,21
AT11,FR52,22
AT11,FR53,23
AT11,FR61,24
AT11,FR62,21
AT11,FR63,20
AT11,FR71,15
AT11,FR72,18
AT11,FR81,18
AT11,FR82,15
AT11,FR83,20
AT11,HR03,9
AT11,HR04,6
AT11,HU10,5
AT11,HU21,4
AT11,HU22,2
AT11,HU23,7
AT11,HU31,7
AT11,HU32,8
AT11,HU33,7
AT11,IE01,34
AT11,IE02,33
AT11,ITC1,12
AT11,ITC2,12
AT11,ITC3,12
AT11,ITC4,10
AT11,ITF1,13
AT11,ITF2,15
AT11,ITF3,15
AT11,ITF4,17
AT11,ITF5,17
AT11,ITF6,20
AT11,ITG1,24
AT11,ITG2,28
AT11,ITH1,10
AT11,ITH2,10
AT11,ITH3,8
AT11,ITH4,7
AT11,ITH5,10
AT11,ITI1,11
AT11,ITI2,12
AT11,ITI3,11
AT11,ITI4,13
AT11,LT00,23
AT11,LU00,14
AT11,LV00,26
AT11,MT00,30
AT11,NL11,17
AT11,NL12,17
AT11,NL13,16
AT11,NL21,16
AT11,NL22,16
AT11,NL23,16
AT11,NL31,16
AT11,NL32,16
AT11,NL33,17
AT11,NL34,16
AT11,NL41,16
AT11,NL42,14
AT11,PL11,12
AT11,PL12,14
AT11,PL21,9
AT11,PL22,7
AT11,PL31,15
AT11,PL32,11
AT11,PL33,11
AT11,PL34,17
AT11,PL41,14
AT11,PL42,15
AT11,PL43,13
AT11,PL51,10
AT11,PL52,8
AT11,PL61,15
AT11,PL62,18
AT11,PL63,17
AT11,PT11,36
AT11,PT15,38
AT11,PT16,36
AT11,PT17,38
AT11,PT18,37
AT11,PT20,103
AT11,PT30,80
AT11,RO11,12
AT11,RO12,13
AT11,RO21,19
AT11,RO22,19
AT11,RO31,15
AT11,RO32,16
AT11,RO41,13
AT11,RO42,9
AT11,SE11,26
AT11,SE12,26
AT11,SE21,24
AT11,SE22,20
AT11,SE23,23
AT11,SE31,27
AT11,SE32,32
AT11,SE33,37
AT11,SI01,4
AT11,SI02,5
AT11,SK01,3
AT11,SK02,4
AT11,SK03,6
AT11,SK04,9
AT11,UKC1,26
AT11,UKC2,26
AT11,UKD1,27
AT11,UKD3,26
AT11,UKD4,26
AT11,UKD6,25
AT11,UKD7,25
AT11,UKE1,25
AT11,UKE2,26
AT11,UKE3,25
AT11,UKE4,25
AT11,UKF1,25
AT11,UKF2,24
AT11,UKF3,24
AT11,UKG1,24
AT11,UKG2,25
AT11,UKG3,24
AT11,UKH1,23
AT11,UKH2,23
AT11,UKH3,22
AT11,UKI1,23
AT11,UKI2,22
AT11,UKJ1,23
AT11,UKJ2,22
AT11,UKJ3,23
AT11,UKJ4,21
AT11,UKK1,24
AT11,UKK2,24
AT11,UKK3,26
AT11,UKK4,25
AT11,UKL1,26
AT11,UKL2,25
AT11,UKM2,30
AT11,UKM3,29
AT11,UKM5,32
AT11,UKM6,34
AT11,UKN0,33
AT12,AT11,2
AT12,AT12,2
AT12,AT13,2
AT12,AT21,7
AT12,AT22,4
AT12,AT31,3
AT12,AT32,5
AT12,AT33,7
AT12,AT34,9
AT12,BE10,15
AT12,BE21,15
AT12,BE22,14
AT12,BE23,15
AT12,BE24,15
AT12,BE25,16
AT12,BE31,15
AT12,BE32,15
AT12,BE33,14
AT12,BE34,14
AT12,BE35,15
AT12,BG31,16
AT12,BG32,19
AT12,BG33,21
AT12,BG34,20
AT12,BG41,18
AT12,BG42,19
AT12,CY00,43
AT12,CZ01,6
AT12,CZ02,6
AT12,CZ03,6
AT12,CZ04,8
AT12,CZ05,7
AT12,CZ06,4
AT12,CZ07,5
AT12,CZ08,6
AT12,DE11,10
AT12,DE12,10
