start_location,end_location,total_cost
AT11,AT11,126
AT11,AT12,221
AT11,AT13,180
AT11,AT21,505
AT11,AT22,287
AT11,AT31,501
AT11,AT32,642
AT11,AT33,915
AT11,AT34,1194
AT11,BE10,1816
AT11,BE21,1892
AT11,BE22,1777
AT11,BE23,1956
AT11,BE24,1890
AT11,BE25,2045
AT11,BE31,1857
AT11,BE32,1925
AT11,BE33,1733
AT11,BE34,1661
AT11,BE35,1796
AT11,BG31,1304
AT11,BG32,1413
AT11,BG33,1531
AT11,BG34,1585
AT11,BG41,1366
AT11,BG42,1511
AT11,CY00,3846
AT11,CZ01,562
AT11,CZ02,573
AT11,CZ03,532
AT11,CZ04,699
AT11,CZ05,565
AT11,CZ06,324
AT11,CZ07,396
AT11,CZ08,486
AT11,DE11,1128
AT11,DE12,1213
AT11,DE13,1360
AT11,DE14,1113
AT11,DE21,829
AT11,DE22,720
AT11,DE23,855
AT11,DE24,1021
AT11,DE25,962
AT11,DE26,1132
AT11,DE27,971
AT11,DE30,1166
AT11,DE40,1160
AT11,DE50,1553
AT11,DE60,1629
AT11,DE71,1263
AT11,DE72,1391
AT11,DE73,1363
AT11,DE80,1486
AT11,DE91,1272
AT11,DE92,1362
AT11,DE93,1501
AT11,DE94,1609
AT11,DEA1,1587
AT11,DEA2,1513
AT11,DEA3,1616
AT11,DEA4,1498
AT11,DEA5,1532
AT11,DEB1,1397
AT11,DEB2,1482
AT11,DEB3,1273
AT11,DEC0,1407
AT11,DED2,875
AT11,DED4,942
AT11,DED5,989
AT11,DEE0,1127
AT11,DEF0,1658
AT11,DEG0,1127
AT11,DK01,2288
AT11,DK02,2250
AT11,DK03,2124
AT11,DK04,2220
AT11,DK05,2371
AT11,EE00,2069
AT11,EL11,1949
AT11,EL12,1792
AT11,EL13,1891
AT11,EL14,1977
AT11,EL21,2096
AT11,EL22,2452
AT11,EL23,2248
AT11,EL24,2169
AT11,EL25,2543
AT11,EL30,2377
AT11,EL41,2830
AT11,EL42,3272
AT11,EL43,3653
AT11,ES11,3915
AT11,ES12,3600
AT11,ES13,3340
AT11,ES21,3248
AT11,ES22,3218
AT11,ES23,3237
AT11,ES24,3149
AT11,ES30,3474
AT11,ES41,3516
AT11,ES42,3518
AT11,ES43,3738
AT11,ES51,2924
AT11,ES52,3518
AT11,ES53,4018
AT11,ES61,3995
AT11,ES62,3603
AT11,ES63,4475
AT11,ES64,4754
AT11,ES70,9177
AT11,FI19,3381
AT11,FI1B,3043
AT11,FI1C,3243
AT11,FI1D,3710
AT11,FI20,3473
AT11,FR10,2282
AT11,FR21,1795
AT11,FR22,2103
AT11,FR23,2398
AT11,FR24,2356
AT11,FR25,2613
AT11,FR26,2026
AT11,FR30,1955
AT11,FR41,1536
AT11,FR42,1414
AT11,FR43,1719
AT11,FR51,2896
AT11,FR52,3015
AT11,FR53,2709
AT11,FR61,2888
AT11,FR62,2891
AT11,FR63,2491
AT11,FR71,1997
AT11,FR72,2278
AT11,FR81,2494
AT11,FR82,2126
AT11,FR83,2271
AT11,HR03,854
AT11,HR04,446
AT11,HU10,454
AT11,HU21,291
AT11,HU22,154
AT11,HU23,375
AT11,HU31,644
AT11,HU32,775
AT11,HU33,653
AT11,IE01,3836
AT11,IE02,3694
AT11,ITC1,1528
AT11,ITC2,1561
AT11,ITC3,1625
AT11,ITC4,1309
AT11,ITF1,1740
AT11,ITF2,1960
AT11,ITF3,2128
AT11,ITF4,2254
AT11,ITF5,2314
AT11,ITF6,2667
AT11,ITG1,3194
AT11,ITG2,2867
AT11,ITH1,996
AT11,ITH2,1158
AT11,ITH3,988
AT11,ITH4,731
AT11,ITH5,1220
AT11,ITI1,1362
AT11,ITI2,1420
AT11,ITI3,1515
AT11,ITI4,1752
AT11,LT00,1512
AT11,LU00,1590
AT11,LV00,1723
AT11,MT00,3713
AT11,NL11,1854
AT11,NL12,1894
AT11,NL13,1862
AT11,NL21,1828
AT11,NL22,1839
AT11,NL23,1918
AT11,NL31,1933
AT11,NL32,1975
AT11,NL33,1970
AT11,NL34,1977
AT11,NL41,1805
AT11,NL42,1692
AT11,PL11,855
AT11,PL12,998
AT11,PL21,667
AT11,PL22,591
AT11,PL31,1096
AT11,PL32,926
AT11,PL33,829
AT11,PL34,1185
AT11,PL41,902
AT11,PL42,1274
AT11,PL43,985
AT11,PL51,694
AT11,PL52,642
AT11,PL61,1110
AT11,PL62,1290
AT11,PL63,1360
AT11,PT11,3864
AT11,PT15,4147
AT11,PT16,3881
AT11,PT17,4119
AT11,PT18,3935
AT11,PT20,9966
AT11,PT30,7772
AT11,RO11,907
AT11,RO12,1097
AT11,RO21,1299
AT11,RO22,1506
AT11,RO31,1262
AT11,RO32,1353
AT11,RO41,1147
AT11,RO42,925
AT11,SE11,3003
