start_location,end_location,total_distance
AT11,AT11,111
AT11,AT12,219
AT11,AT13,165
AT11,AT21,490
AT11,AT22,281
AT11,AT31,484
AT11,AT32,613
AT11,AT33,916
AT11,AT34,1215
AT11,BE10,2131
AT11,BE21,2139
AT11,BE22,1989
AT11,BE23,2221
AT11,BE24,2130
AT11,BE25,2330
AT11,BE31,2117
AT11,BE32,2179
AT11,BE33,1949
AT11,BE34,1914
AT11,BE35,2065
AT11,BG31,1705
AT11,BG32,2006
AT11,BG33,2229
AT11,BG34,2290
AT11,BG41,1834
AT11,BG42,2086
AT11,CY00,4658
AT11,CZ01,728
AT11,CZ02,737
AT11,CZ03,672
AT11,CZ04,914
AT11,CZ05,714
AT11,CZ06,419
AT11,CZ07,513
AT11,CZ08,653
AT11,DE11,1251
AT11,DE12,1380
AT11,DE13,1478
AT11,DE14,1216
AT11,DE21,861
AT11,DE22,734
AT11,DE23,902
AT11,DE24,1101
AT11,DE25,1048
AT11,DE26,1268
AT11,DE27,1047
AT11,DE30,1363
AT11,DE40,1350
AT11,DE50,1854
AT11,DE60,1865
AT11,DE71,1449
AT11,DE72,1522
AT11,DE73,1499
AT11,DE80,1728
AT11,DE91,1535
AT11,DE92,1661
AT11,DE93,1789
AT11,DE94,1943
AT11,DEA1,1852
AT11,DEA2,1776
AT11,DEA3,1870
AT11,DEA4,1732
AT11,DEA5,1760
AT11,DEB1,1628
AT11,DEB2,1730
AT11,DEB3,1480
AT11,DEC0,1655
AT11,DED2,1013
AT11,DED4,1075
AT11,DED5,1186
AT11,DEE0,1357
AT11,DEF0,1954
AT11,DEG0,1308
AT11,DK01,2146
AT11,DK02,2153
AT11,DK03,2317
AT11,DK04,2467
AT11,DK05,2670
AT11,EE00,3267
AT11,EL11,2385
AT11,EL12,2185
AT11,EL13,2201
AT11,EL14,2450
AT11,EL21,2460
AT11,EL22,2665
AT11,EL23,2793
AT11,EL24,2717
AT11,EL25,3113
AT11,EL30,2935
AT11,EL41,3152
AT11,EL42,3553
AT11,EL43,3674
AT11,ES11,4690
AT11,ES12,4157
AT11,ES13,3857
AT11,ES21,3612
AT11,ES22,3608
AT11,ES23,3762
AT11,ES24,3590
AT11,ES30,4175
AT11,ES41,4194
AT11,ES42,4172
AT11,ES43,4762
AT11,ES51,3134
AT11,ES52,3885
AT11,ES53,3543
AT11,ES61,4806
AT11,ES62,4139
AT11,ES63,5100
AT11,ES64,4856
AT11,ES70,7834
AT11,FI19,3787
AT11,FI1B,3365
AT11,FI1C,3581
AT11,FI1D,4398
AT11,FI20,3573
AT11,FR10,2375
AT11,FR21,2060
AT11,FR22,2348
AT11,FR23,2643
AT11,FR24,2552
AT11,FR25,2848
AT11,FR26,2165
AT11,FR30,2342
AT11,FR41,1763
AT11,FR42,1553
AT11,FR43,1821
AT11,FR51,2982
AT11,FR52,3208
AT11,FR53,2991
AT11,FR61,3192
AT11,FR62,2992
AT11,FR63,2716
AT11,FR71,2101
AT11,FR72,2419
AT11,FR81,2627
AT11,FR82,2222
AT11,FR83,1936
AT11,HR03,999
AT11,HR04,525
AT11,HU10,461
AT11,HU21,330
AT11,HU22,180
AT11,HU23,457
AT11,HU31,705
AT11,HU32,833
AT11,HU33,692
AT11,IE01,4128
AT11,IE02,3940
AT11,ITC1,1689
AT11,ITC2,1746
AT11,ITC3,1690
AT11,ITC4,1412
AT11,ITF1,1705
AT11,ITF2,1893
AT11,ITF3,2071
AT11,ITF4,2201
AT11,ITF5,2219
AT11,ITF6,2617
AT11,ITG1,3086
AT11,ITG2,2463
AT11,ITH1,997
AT11,ITH2,1149
AT11,ITH3,1038
AT11,ITH4,761
AT11,ITH5,1292
AT11,ITI1,1495
AT11,ITI2,1561
AT11,ITI3,1466
AT11,ITI4,1806
AT11,LT00,2244
AT11,LU00,1816
AT11,LV00,2599
AT11,MT00,3371
AT11,NL11,2155
AT11,NL12,2216
AT11,NL13,2107
AT11,NL21,2052
AT11,NL22,2052
AT11,NL23,2175
AT11,NL31,2147
AT11,NL32,2211
AT11,NL33,2228
AT11,NL34,2252
AT11,NL41,2082
AT11,NL42,1928
AT11,PL11,1136
AT11,PL12,1375
AT11,PL21,877
AT11,PL22,818
AT11,PL31,1462
AT11,PL32,1191
AT11,PL33,1129
AT11,PL34,1729
AT11,PL41,1184
AT11,PL42,1613
AT11,PL43,1253
AT11,PL51,888
AT11,PL52,842
AT11,PL61,1428
AT11,PL62,1724
AT11,PL63,1743
AT11,PT11,4828
AT11,PT15,5358
AT11,PT16,4942
AT11,PT17,5230
AT11,PT18,5085
AT11,PT20,8099
AT11,PT30,7180
AT11,RO11,1140
AT11,RO12,1480
AT11,RO21,1838
AT11,RO22,2141
AT11,RO31,1753
AT11,RO32,1890
AT11,RO41,1512
AT11,RO42,1043
AT11,SE11,3155
AT11,SE12,3110
AT11,SE21,2615
AT11,SE22,2242
AT11,SE23,2713
AT11,SE31,3331
AT11,SE32,4020
AT11,SE33,4717
AT11,SI01,430
AT11,SI02,612
AT11,SK01,208
AT11,SK02,368
AT11,SK03,595
AT11,SK04,884
AT11,UKC1,3418
AT11,UKC2,3470
AT11,UKD1,3588
AT11,UKD3,3350
AT11,UKD4,3432
AT11,UKD6,3331
AT11,UKD7,3397
AT11,UKE1,3211
AT11,UKE2,3306
AT11,UKE3,3222
AT11,UKE4,3288
AT11,UKF1,3171
AT11,UKF2,3048
AT11,UKF3,3084
AT11,UKG1,3154
AT11,UKG2,3239
AT11,UKG3,3169
AT11,UKH1,2908
AT11,UKH2,2905
AT11,UKH3,2796
AT11,UKI1,2833
AT11,UKI2,2832
AT11,UKJ1,2951
AT11,UKJ2,2819
AT11,UKJ3,2988
AT11,UKJ4,2703
AT11,UKK1,3161
AT11,UKK2,3133
AT11,UKK3,3538
AT11,UKK4,3356
AT11,UKL1,3415
AT11,UKL2,3296
AT11,UKM2,3845
AT11,UKM3,3861
AT11,UKM5,4009
AT11,UKM6,4205
AT11,UKN0,4072
AT12,AT11,219
AT12,AT12,149
AT12,AT13,115
AT12,AT21,557
AT12,AT22,348
AT12,AT31,352
AT12,AT32,538
AT12,AT33,821
AT12,AT34,1099
AT12,BE10,1997
AT12,BE21,1981
AT12,BE22,1847
AT12,BE23,2054
AT12,BE24,1996
AT12,BE25,2182
AT12,BE31,1975
AT12,BE32,2032
AT12,BE33,1817
AT12,BE34,1786
AT12,BE35,1930
AT12,BG31,1833
AT12,BG32,2142
AT12,BG33,2384
AT12,BG34,2439
AT12,BG41,1990
AT12,BG42,2230
AT12,CY00,4804
AT12,CZ01,560
AT12,CZ02,560
AT12,CZ03,500
AT12,CZ04,727
AT12,CZ05,566
AT12,CZ06,304
AT12,CZ07,421
AT12,CZ08,564
AT12,DE11,1126
AT12,DE12,1248
AT12,DE13,1361
AT12,DE14,1107
AT12,DE21,726
AT12,DE22,592
AT12,DE23,759
AT12,DE24,936
AT12,DE25,911
AT12,DE26,1117
AT12,DE27,913
AT12,DE30,1194
AT12,DE40,1168
AT12,DE50,1683
AT12,DE60,1704
AT12,DE71,1307
AT12,DE72,1369
AT12,DE73,1337
AT12,DE80,1546
AT12,DE91,1363
AT12,DE92,1494
AT12,DE93,1618
AT12,DE94,1783
AT12,DEA1,1712
AT12,DEA2,1637
AT12,DEA3,1710
AT12,DEA4,1572
AT12,DEA5,1609
AT12,DEB1,1473
AT12,DEB2,1600
AT12,DEB3,1336
AT12,DEC0,1509
AT12,DED2,844
AT12,DED4,901
AT12,DED5,1017
AT12,DEE0,1183
AT12,DEF0,1785
AT12,DEG0,1146
AT12,DK01,1981
AT12,DK02,1997
AT12,DK03,2162
AT12,DK04,2294
AT12,DK05,2508
AT12,EE00,3120
AT12,EL11,2505
AT12,EL12,2328
AT12,EL13,2333
AT12,EL14,2578
AT12,EL21,2616
AT12,EL22,2834
AT12,EL23,2952
AT12,EL24,2842
AT12,EL25,3236
AT12,EL30,3067
AT12,EL41,3369
AT12,EL42,3648
AT12,EL43,3795
AT12,ES11,4602
AT12,ES12,4075
AT12,ES13,3748
AT12,ES21,3560
